"기관명","홈페이지주소","오픈일자"
"전라남도신안교육청","http://www.jnsaed.go.kr","2009-01-22"
"강원도 인제군청","http://www.injecl.go.kr","2009-01-22"
"전라남도 보성교육청","http://www.jnbse.go.kr","2009-01-22"
"경상북도 예천군 행정지원과","http://en.ycg.kr","2009-01-22"
"광주광역시 서구 의회사무국","http://gjsc.or.kr","2009-01-22"
"서울특별시교육청 총무과","http://girok.sen.go.kr","2009-01-22"
"전라남도완도군의회","http://www.wdcc.or.kr","2009-01-22"
"제주특별자치도 제주시 자치행정국 정보화지원과","http://www.jejusi.go.kr","2009-01-22"
"경상남도 남해군","http://www.knhc.net","2009-01-22"
"충청북도 단양군","http://www.dy21.net","2009-01-22"
"경기도 연천군","http://www.yeoncheon.go.kr","2009-01-22"
"충청북도 진천군","http://www.jincheon.go.kr","2009-01-22"
"국무조정실 조세심판원","http://www.tt.go.kr","2009-01-22"
"충청남도교육청","http://archive.cne.go.kr","2009-01-22"
"국가보훈처","http://www.icnc.go.kr","2009-01-22"
"국가보훈처","http://www.isnc.go.kr","2009-01-22"
"국가보훈처","http://www.ycnc.go.kr","2009-01-22"
"국가보훈처","http://518.mpva.go.kr","2009-01-22"
"국가보훈처","http://315.mpva.go.kr","2009-01-22"
"국가보훈처","http://419.mpva.go.kr","2009-01-22"
"광주광역시 서구","http://www.seogu.gwangju.kr","2009-01-22"
"전라남도 소방본부 소방행정과","http://www.jnsobang.go.kr","2009-01-22"
"경기도 수원시 권선구 총무과","http://ksun.suwon.go.kr","2009-01-22"
"경찰청 서울특별시지방경찰청 서울중랑경찰서 경비교통과","http://www.policemuseum.go.kr","2009-01-22"
"전라북도교육청 교육국 과학정보교육과","http://www.jbe.go.kr","2009-01-22"
"경상북도 청송군","http://www.cs.go.kr","2009-01-22"
"대구광역시서부교육청","http://www.dgsbe.go.kr","2009-01-22"
"부산광역시 상수도사업본부","http://water.busan.go.kr","2009-01-22"
"부산광역시 강서구","http://www.bsgangseo.go.kr","2009-01-22"
"부산광역시남부교육청","http://nambu.pen.go.kr","2009-01-22"
"충청북도교육청 충청북도단양교육청 교육과","http://www.cbdye.go.kr","2009-01-22"
"부산광역시 동래구","http://www.dongnae.go.kr","2009-01-22"
"대전광역시 대덕구","http://www.daedeok.go.kr","2009-01-22"
"경북지방경찰청 고령경찰서","http://gr.gbpolice.go.kr","2009-01-22"
"경북지방경찰청 청송경찰서","http://cs.gbpolice.go.kr","2009-01-22"
"경북지방경찰청 영덕경찰서","http://yd.gbpolice.go.kr","2009-01-22"
"경북지방경찰청 청도 경찰서","http://cd.gbpolice.go.kr","2009-01-22"
"경북지방경찰청 경주경찰서","http://gj.gbpolice.go.kr","2009-01-22"
"울산광역시 중구","http://edu.junggu.ulsan.kr","2009-01-22"
"울산광역시 중구 기획감사실","http://council.junggu.ulsan.kr","2009-01-22"
"울산광역시 중구","http://health.junggu.ulsan.kr","2009-01-22"
"광주광역시 광산구","http://www.gwangsan.go.kr","2009-01-22"
"경찰청 충청북도지방경찰청 경무과","http://www.cbpolice.go.kr/","2009-01-22"
"서울특별시 강북구","http://www.gangbuk.go.kr","2009-01-22"
"충청남도","http://www.chungnam.net","2009-01-28"
"인천광역시 동구","http://www.icdonggu.go.kr","2009-01-29"
"전라북도 군산시","http://juso.gunsan.go.kr","2009-01-30"
"강원도 정선군","http://www.jeongseon.go.kr","2009-02-02"
"경상남도사천교육청","http://www.gnsce.go.kr","2009-02-02"
"전라북도 전주시","http://www.jeonju.go.kr","2009-02-02"
"경상북도 문경시","http://www.gbmg.go.kr","2009-02-02"
"경기지방경찰청 시흥경찰서","http://sh.ggpolice.go.kr","2009-02-02"
"인천국제공항경찰대","http://ia.icpolice.go.kr","2009-02-02"
"인천삼산경찰서","http://ss.icpolice.go.kr","2009-02-02"
"인천연수경찰서","http://ys.icpolice.go.kr","2009-02-02"
"인천강화경찰서","http://kh.icpolice.go.kr","2009-02-02"
"인천계양경찰서","http://ky.icpolice.go.kr","2009-02-02"
"인천부평경찰서","http://bp.icpolice.go.kr","2009-02-02"
"경기도 의왕시","http://www.uw21.net","2009-02-02"
"경기도 여주군","http://www.yeoju.go.kr","2009-02-02"
"경찰청 인천광역시지방경찰청 경무과","http://www.icpolice.go.kr","2009-02-02"
"보건복지가족부","http://www.129.go.kr","2009-02-02"
"서울특별시 중랑구","http://www.jungnang.seoul.kr","2009-02-02"
"대구서구","http://www.dgseogu.go.kr","2009-02-02"
"경상남도 남해군 행정과","http://tour.namhae.go.kr","2009-02-03"
"장흥군청","http://art.jangheung.go.kr","2009-02-03"
"장흥군청","http://jares.jangheung.go.kr","2009-02-03"
"장흥군청","http://bogunso.jangheung.go.kr","2009-02-03"
"경상북도 안동시","http://www.andong.go.kr","2009-02-03"
"인천광역시 남동구청","http://www.nd.go.kr","2009-02-03"
"인천광역시 남구","http://namgu.incheon.kr","2009-02-03"
"부산광역시서부교육청","http://seobu.pen.go.kr","2009-02-04"
"경기지방경찰청 포천경찰서","http://pc.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 김포경찰서","http://gimpo.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 화성서부경찰서","http://hssb.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 화성동부경찰서","http://hsdb.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 평택경찰서","http://pt.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 안산상록경찰서","http://assn.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 광명경찰서","http://gm.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 부천남부경찰서","http://bcnb.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 분당경찰서","http://bd.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 성남중원경찰서","http://snjw.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 성남수정경찰서","http://snsj.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 군포경찰서","http://gunpo.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 과천경찰서","http://gc.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 안양경찰서","http://ay.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 수원서부경찰서","http://swsb.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 수원남부경찰서","http://swnb.ggpolice.go.kr","2009-02-04"
"경기지방경찰청 수원중부경찰서","http://swjb.ggpolice.go.kr","2009-02-04"
"경찰청 경기도지방경찰청 제1차장 제1부 정보통신과","http://www.ggpolice.go.kr","2009-02-04"
"강원도보건환경연구원","http://www.gihe.re.kr","2009-02-04"
"국토해양부 대변인 홍보담당관","http://tiltm.molit.go.kr","2009-02-04"
"경기지방경찰청 양평경찰서","http://yp.ggpolice.go.kr","2009-02-05"
"경기지방경찰청 여주경찰서","http://yj.ggpolice.go.kr","2009-02-05"
"경기지방경찰청 안성경찰서","http://as.ggpolice.go.kr","2009-02-05"
"경기지방경찰청 이천경찰서","http://ic.ggpolice.go.kr","2009-02-05"
"경기지방경찰청 용인경찰서","http://yi.ggpolice.go.kr","2009-02-05"
"경기지방경찰청 안산단원경찰서","http://asdw.ggpolice.go.kr","2009-02-05"
"경기지방경찰청 부천중부경찰서","http://bcjb.ggpolice.go.kr","2009-02-05"
"인천광역시 옹진군","http://www.ongjin.go.kr","2009-02-05"
"충청남도 예산군","http://www.yesan.go.kr","2009-02-05"
"전북지방경찰청 무주경찰서","http://mj.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 장수경찰서","http://js.jbpolice.go.kr","2009-02-06"
