,기관명,홈페이지주소,오픈일자,오픈연도
207,경북지방경찰청 영덕경찰서,http://yd.gbpolice.go.kr,2009-01-22,2009 연도
208,경북지방경찰청 청도 경찰서,http://cd.gbpolice.go.kr,2009-01-22,2009 연도
209,경북지방경찰청 경주경찰서,http://gj.gbpolice.go.kr,2009-01-22,2009 연도
210,울산광역시 중구,http://edu.junggu.ulsan.kr,2009-01-22,2009 연도
211,울산광역시 중구 기획감사실,http://council.junggu.ulsan.kr,2009-01-22,2009 연도
212,울산광역시 중구,http://health.junggu.ulsan.kr,2009-01-22,2009 연도
213,광주광역시 광산구,http://www.gwangsan.go.kr,2009-01-22,2009 연도
214,경찰청 충청북도지방경찰청 경무과,http://www.cbpolice.go.kr/,2009-01-22,2009 연도
215,서울특별시 강북구,http://www.gangbuk.go.kr,2009-01-22,2009 연도
216,충청남도,http://www.chungnam.net,2009-01-28,2009 연도
217,인천광역시 동구,http://www.icdonggu.go.kr,2009-01-29,2009 연도
218,전라북도 군산시,http://juso.gunsan.go.kr,2009-01-30,2009 연도
219,강원도 정선군,http://www.jeongseon.go.kr,2009-02-02,2009 연도
220,경상남도사천교육청,http://www.gnsce.go.kr,2009-02-02,2009 연도
221,전라북도 전주시,http://www.jeonju.go.kr,2009-02-02,2009 연도
222,경상북도 문경시,http://www.gbmg.go.kr,2009-02-02,2009 연도
223,경기지방경찰청 시흥경찰서,http://sh.ggpolice.go.kr,2009-02-02,2009 연도
224,인천국제공항경찰대,http://ia.icpolice.go.kr,2009-02-02,2009 연도
225,인천삼산경찰서,http://ss.icpolice.go.kr,2009-02-02,2009 연도
226,인천연수경찰서,http://ys.icpolice.go.kr,2009-02-02,2009 연도
227,인천강화경찰서,http://kh.icpolice.go.kr,2009-02-02,2009 연도
228,인천계양경찰서,http://ky.icpolice.go.kr,2009-02-02,2009 연도
229,인천부평경찰서,http://bp.icpolice.go.kr,2009-02-02,2009 연도
230,경기도 의왕시,http://www.uw21.net,2009-02-02,2009 연도
231,경기도 여주군,http://www.yeoju.go.kr,2009-02-02,2009 연도
232,경찰청 인천광역시지방경찰청 경무과,http://www.icpolice.go.kr,2009-02-02,2009 연도
233,보건복지가족부,http://www.129.go.kr,2009-02-02,2009 연도
234,서울특별시 중랑구,http://www.jungnang.seoul.kr,2009-02-02,2009 연도
235,대구서구,http://www.dgseogu.go.kr,2009-02-02,2009 연도
236,경상남도 남해군 행정과,http://tour.namhae.go.kr,2009-02-03,2009 연도
237,장흥군청,http://art.jangheung.go.kr,2009-02-03,2009 연도
