시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
동두천시,탑동동,82,42,37,3,49,2022-03-17,,,,
동두천시,하봉암동,61,34,24,3,40,2022-03-17,,,,
부천시,계수동,11,4,7,0,9,2022-05-26,,,,
부천시,고강동,3667,1980,1291,396,2712,2022-05-26,,,,
부천시,괴안동,2582,1248,1136,198,2007,2022-05-26,,,,
부천시,내동,728,310,302,116,537,2022-05-26,,,,
부천시,대장동,34,11,14,9,19,2022-05-26,,,,
부천시,도당동,1592,683,620,289,1234,2022-05-26,,,,
부천시,범박동,1099,482,527,90,867,2022-05-26,,,,
부천시,삼정동,618,283,282,53,442,2022-05-26,,,,
부천시,상동,6717,3670,2628,419,5293,2022-05-26,,,,
부천시,소사동,590,317,219,54,444,2022-05-26,,,,
부천시,소사본동,4069,2201,1521,347,3028,2022-05-26,,,,
부천시,송내동,3176,2048,987,141,2490,2022-05-26,,,,
부천시,심곡동,3643,1984,1384,275,2726,2022-05-26,,,,
부천시,심곡본동,2337,1397,796,144,1762,2022-05-26,,,,
부천시,약대동,1059,482,486,91,822,2022-05-26,,,,
부천시,여월동,1499,772,552,175,1142,2022-05-26,,,,
부천시,역곡동,2350,1297,899,154,1827,2022-05-26,,,,
부천시,오정동,1806,802,732,272,1327,2022-05-26,,,,
부천시,옥길동,1098,492,480,126,864,2022-05-26,,,,
부천시,원미동,2160,1101,902,157,1607,2022-05-26,,,,
부천시,원종동,4422,2350,1571,501,3343,2022-05-26,,,,
부천시,작동,866,456,341,69,617,2022-05-26,,,,
부천시,중동,9727,5106,3666,955,7308,2022-05-26,,,,
부천시,춘의동,1096,596,393,107,839,2022-05-26,,,,
부천시,합계,56946,30072,21736,5138,43266,2022-05-26,,,,
성남시,갈현동,27,17,6,4,22,2021-08-25,,,,
성남시,고등동,206,117,62,27,145,2021-08-25,,,,
성남시,구미동,2727,1506,1029,192,2169,2021-08-25,,,,
성남시,궁내동,152,91,46,15,114,2021-08-25,,,,
성남시,금곡동,1750,983,658,109,1399,2021-08-25,,,,
성남시,금광동,2249,1516,553,180,1742,2021-08-25,,,,
성남시,금토동,111,64,35,12,69,2021-08-25,,,,
성남시,단대동,821,544,191,86,630,2021-08-25,,,,
성남시,대장동,60,19,32,9,35,2021-08-25,,,,
성남시,도촌동,865,532,271,62,726,2021-08-25,,,,
성남시,동원동,63,34,24,5,50,2021-08-25,,,,
성남시,둔전동,19,7,4,8,15,2021-08-25,,,,
성남시,백현동,1196,778,301,117,942,2021-08-25,,,,
성남시,복정동,592,391,145,56,456,2021-08-25,,,,
성남시,분당동,1632,1022,467,143,1266,2021-08-25,,,,
성남시,사송동,60,39,17,4,47,2021-08-25,,,,
성남시,산성동,702,422,202,78,544,2021-08-25,,,,
성남시,삼평동,962,561,319,82,814,2021-08-25,,,,
성남시,상대원동,3483,2493,753,237,2665,2021-08-25,,,,
성남시,상적동,72,42,16,14,47,2021-08-25,,,,
성남시,서현동,3007,1839,867,301,2451,2021-08-25,,,,
성남시,석운동,43,26,15,2,28,2021-08-25,,,,
